ISIN,Name,Asset class,Currency,Weight,Sector,Country
ID1000122401,PETROSEA TBK PT,EQUITY,IDR,0.00000738996924463438,Materials,Indonesia
INE457A01014,BANK OF MAHARASHTRA,EQUITY,INR,0.00000738990736739621,Financials,India
CNE100003P74,SHENZHEN TRANSSION HOLDING-A,EQUITY,CNY,0.00000730076343571892,Information Technology,China
CNE100000F87,ACCELINK TECHNOLOGIES CO -A NTH-SZSE,EQUITY,CNH,0.00000727382729693354,Information Technology,China
KR7029780004,SAMSUNG CARD CO,EQUITY,KRW,0.00000725301211968209,Financials,South Korea
ID1000210701,CHANDRA DAYA INVESTASI TBK P,EQUITY,IDR,0.00000724947860371279,Utilities,Indonesia
TRAAEFES91A9,ANADOLU EFES BIRAC,EQUITY,TRY,0.00000722660356576955,Consumer Staples,Turkey
KYG8924B1041,TOPSPORTS INTERNATIONAL HOLD,EQUITY,HKD,0.00000721293358117861,Consumer Discretionary,China
CNE100005PN5,SHANGHAI UNITED IMAGING HE-A NTH-SSE,EQUITY,CNH,0.00000719558352926481,Health Care,China
CNE1000025S9,CHINA ZHESHANG BANK CO LTD-H,EQUITY,HKD,0.00000716884604898093,Financials,China
INE260B01028,GODFREY PHILLIPS INDIA LTD,EQUITY,INR,0.00000713296213588617,Consumer Staples,India
TREMLPC00021,MLP SAGLIK HIZMETLERI AS,EQUITY,TRY,0.00000709848674413402,Health Care,Turkey
TRELDRT00020,LDR TURIZM AS,EQUITY,TRY,0.00000709537659874168,Industrials,Turkey
CNE100002Q09,HANGZHOU CHANG CHUAN TECHN-A NTH-SZSE,EQUITY,CNH,0.00000708569606766448,Information Technology,China
JP3560200002,TOEI ANIMATION CO LTD,EQUITY,JPY,0.00000703657693899437,Communication Services,Japan
TRAGLOBL91Q0,TERA YATIRIM TEKNOLOJI HOLDI,EQUITY,TRY,0.00000703562598354457,Real Estate,Turkey
CNE100002771,SHANGHAI FLYCO ELECTRICAL -A NTH-SSE,EQUITY,CNH,0.00000702434641436512,Consumer Staples,China
TREKYAS00018,KUYUMCUKENT GAYRIMENKUL TATI,EQUITY,TRY,0.00000699789226669814,Real Estate,Turkey
CNE000001FW7,HUAXIA BANK CO LT-A NT-SS,EQUITY,CNH,0.00000696405030246307,Financials,China
CNE100007FB7,VOYAH AUTOMOBILE TECHNOLOG-H,EQUITY,HKD,0.00000696095318385771,Consumer Discretionary,China
CNE000001BD6,COSCO SHIPPING ENERGY TRAN-A NTH-SSE,EQUITY,CNH,0.00000695358653581847,Energy,China
SA000A0JK5M3,SAUDI RESEARCH & MEDIA GROUP,EQUITY,SAR,0.00000692906686601856,Communication Services,Saudi Arabia
TREKLRH00038,KILER HOLDING AS,EQUITY,TRY,0.00000692344092239001,Industrials,Turkey
CNE000000WQ6,ZHEJIANG JUHUA CO-A NTH-SSE,EQUITY,CNH,0.00000690518550878084,Materials,China
TRAGUBRF91E2,GUBRE FABRIKALARI TAS,EQUITY,TRY,0.00000689835947240142,Materials,Turkey
HK0000065869,GUOTAI JUNAN INTERNATIONAL HOL,EQUITY,HKD,0.00000688872290673029,Financials,China
CNE000001KK2,FOCUS MEDIA INFOR NT-SZ,EQUITY,CNH,0.00000678124540072193,Communication Services,China
CNE1000001X0,ANHUI EXPRESSWAY CO LTD,EQUITY,HKD,0.00000675874651125285,Industrials,China
CNE100006Z53,FOSHAN HAITIAN FLAVOURING-H,EQUITY,HKD,0.00000675292353747117,Consumer Staples,China
CNE1000029Z6,CHINA MERCHANTS SECURITIES-H,EQUITY,HKD,0.00000673853219455102,Financials,China
KYG9894K1085,ZHONGSHENG GROUP HOLDINGS,EQUITY,HKD,0.00000673420730127245,Consumer Discretionary,China
CNE100006M82,HUAQIN CO LTD-A NTH-SSE,EQUITY,CNH,0.00000671922812458966,Information Technology,China
CNE000000XM3,HENAN SHUANGHUI INV NT-SZ,EQUITY,CNH,0.00000670627949832795,Consumer Staples,China
HK0000745908,YUEXIU PROPERTY CO LTD,EQUITY,HKD,0.00000669947788717412,Real Estate,China
CNE100001B07,SATELLITE CHEMICAL CO LTD-A NTH-SZSE,EQUITY,CNH,0.00000669497876061966,Materials,China
TRATOASO91H3,TOFAS TURK OTOMOBIL FABRIKASI,EQUITY,TRY,0.00000665741439200402,Consumer Discretionary,Turkey
CNE100004QD7,SHANGHAI RURAL COMMERCIAL -A NTH-SSE,EQUITY,CNH,0.00000660145131512239,Financials,China
CNE0000019V8,ANHUI CONCH CEM C-A NT-SS,EQUITY,CNH,0.00000657863652606895,Materials,China
KR7302440003,SK BIOSCIENCE CO LTD,EQUITY,KRW,0.00000654411228386561,Health Care,South Korea
CNE100000BP1,GOERTEK INC -A NT-SZ,EQUITY,CNH,0.00000651537682012812,Information Technology,China
CNE100003PG4,PHARMARON BEIJING CO LTD-H,EQUITY,HKD,0.00000650711295213538,Health Care,China
CNE1000048J0,CHINA INTERNATIONAL CAPTAL-A NTH-SSE,EQUITY,CNH,0.00000648463034615003,Financials,China
CNE000000529,TONGLING NONFERROU NT-SZ,EQUITY,CNH,0.00000645632150968625,Materials,China
INE031A01017,HOUSING & URBAN DEV CORP LTD,EQUITY,INR,0.00000641533272444229,Financials,India
CNE100004YZ4,CHINA TOURISM GROUP DUTY F-H,EQUITY,HKD,0.00000639980479435782,Consumer Discretionary,China
CNE100000YJ6,TIANSHAN ALUMINUM GROUP CO-A NTH-SZSE,EQUITY,CNH,0.00000636339003969348,Materials,China
CNE0000012L4,SHANJIN INTERNATIONAL GOLD-A NTH-SZSE,EQUITY,CNH,0.00000630588654525104,Materials,China
CNE000001P78,SINOMA SCIENCE&TECHNOLOGY -A NTH-SZSE,EQUITY,CNH,0.0000063020175895169,Materials,China
INE880J01026,JSW INFRASTRUCTURE LTD,EQUITY,INR,0.0000062809288497388,Industrials,India
KW0EQ0100077,BURGAN BANK,EQUITY,KWD,0.00000622762160905345,Financials,Kuwait
CNE000000PC0,GD POWER DEVELOPMENT CO -A,EQUITY,CNY,0.00000617220077218001,Utilities,China
CNE100002FG7,CHINA GALAXY SECURITIES CO-A NTH-SSE,EQUITY,CNH,0.00000614315103720654,Financials,China
